number,title,genre,author,date,in.year,,,,,,,,,
1,Praise of Folly,,Erasmus,4/23/2003,1,,,,,,,,,
2,Myth of Sisyphus,,Albert Camus,5/10/2003,2,,,,,,,,,
3,Letter to Martin Dorp,,Erasmus,5/11/2003,3,,,,,,,,,
4,Abusing Science,,Philip Kitcher,5/22/2003,4,,,,,,,,,
5,Demian,,Herman Hesse,5/26/2003,5,,,,,,,,,
6,Scientific Revolutions,,Thomas Kuhn,6/5/2003,6,,,,,,,,,
7,Girl in Landscape,,Jonathan Lethem,6/25/2003,7,,,,,,,,,
8,Rage,,Stephen King,6/28/2003,8,,,,,,,,,
9,Quinqunx,,Thomas Palliser,7/24/2003,9,,,,,,,,,
10,The Ferret Cronicles,,Richard Bach,8/27/2003,10,,,,,,,,,
11,Eden Express,,Mark Vonnegut,9/3/2003,11,,,,,,,,,
12,Elementary Particles,,Michel Houellebecq,10/27/2003,12,,,,,,,,,
13,Beyond Belief,,Elane Pagels,12/11/2003,13,,,,,,,,,
14,Masada,,Ernest K. Gann,1/1/2004,1,,,,,,,,,
15,Radiant Cool,,Dan Lloyd,1/10/2004,2,,,,,,,,,
16,Practical Demonkeeping,,Christopher Moore,2/18/2004,3,,,,,,,,,
17,Ebony Tower,,John Fowles,2/19/2004,4,,,,,,,,,
18,Man and Superman,,George Bernard Shaw,3/4/2004,5,,,,,,,,,
19,Portnoy's Complaint,,Phillip Roth,5/19/2004,6,,,,,,,,,
20,Bloodsucking Fiends,,Christopher Moore,5/23/2004,7,,,,,,,,,
21,White Apples,,Jonathan Carroll,8/13/2004,8,,,,,,,,,
22,Immortality,,Milan Kundera,9/21/2004,9,,,,,,,,,
23,Across the Nightingale Floor,,Lian Hearn,10/10/2004,10,,,,,,,,,
24,Amnesia Moon,,Jonathan Lethem,11/15/2004,11,,,,,,,,,
25,What Nietzsche Really Said,,Robert Solomon,2/5/2005,1,,,,,,,,,
26,Hard-Boiled Wonderland and the End of the World,,Haruki Murakami,5/19/2005,2,,,,,,,,,
27,Cantile for Lebowitz,,Walter M. Miller Jr.,7/16/2005,3,,,,,,,,,
28,Herzog,,Saul Bellow,9/12/2005,4,,,,,,,,,
29,Birdsong,,Don Stap,11/18/2005,5,,,,,,,,,
30,"The Lion, Witch, and the Wardrobe",,C.S. Lewis,12/1/2005,6,,,,,,,,,
31,Prince Caspian,,C.S. Lewis,12/4/2005,7,,,,,,,,,
32,Voyage of the Dawn Treader,,C.S. Lewis,12/8/2005,8,,,,,,,,,
33,A Universal History of Infamy,,Jorge Luis Borges,12/28/2005,9,,,,,,,,,
34,Waiting for Godot,,Samuel Beckett,12/29/2005,10,,,,,,,,,
35,The Fall,,Albert Camus,1/11/2006,1,,,,,,,,,
36,Captain Blood,,Rafael Sabatini,3/10/2006,2,,,,,,,,,
37,Voices from Chernobyl,,Svetlana Alexievich,5/5/2006,3,,,,,,,,,
