date,pages,title,media,status
6/16/2013,25,Think Python,Book,start
6/16/2013,9,Harper's,Magazine,insitu
6/17/2013,5,Practical Programming,Book,start
6/18/2013,27,You,eBook,start
6/18/2013,25,Practical Programming,Book,insitu
6/19/2013,30,You,eBook,insitu
6/20/2013,24,You,eBook,insitu
6/21/2013,30,You,eBook,insitu
6/22/2012,48,You,eBook,finish
6/23/2013,8,Interpreting Hesse,Book,start
6/23/2013,5,Book Thief,Book,start
6/23/2013,33,Shining Girls,eBook,start
6/25/2013,4,Book Thief,Book,insitu
6/26/2013,15,Shining Girls,eBook,insitu
6/27/2013,20,Book Thief,Book,insitu
6/28/2013,14,Shining Girls,eBook,insitu
6/29/2013,11,Behind the Beautiful Forevers,eBook,insitu
6/30/2013,15,Altantic Monthly,Magazine,insitu
7/1/2013,27,Book Thief,Book,insitu
7/1/2013,14,Shining Girls,eBook,insitu
7/3/2013,7,The Englebart Hypthesis,eBook,start
7/4/2013,17,Harper's,Magazine,insitu
7/4/2013,9,Shining Girls,eBook,insitu
7/5/2013,30,Book Thief,Book,insitu
7/6/2013,21,Book Thief,Book,insitu
7/6/2013,13,Shining Girls,eBook,insitu
7/7/2013,10,Harper's,Magazine,insitu
7/7/2013,44,Book Thief,Book,insitu
7/7/2013,12,Shining Girls,eBook,insitu
7/8/2013,36,Book Thief,Book,insitu
7/8/2013,12,Shining Girls,eBook,insitu
7/9/2013,46,Book Thief,Book,insitu
7/10/2013,57,Book Thief,Book,insitu
7/10/2013,21,Shining Girls,eBook,insitu
7/11/2013,58,Book Thief,Book,insitu
7/11/2013,38,Shining Girls,eBook,insitu
7/12/2013,53,Lexicon,eBook,start
7/13/2013,47,Lexicon,eBook,insitu
7/14/2013,26,Lexicon,eBook,insitu
7/16/2013,32,Lexicon,eBook,insitu
7/17/2013,32,Lexicon,eBook,insitu
7/18/2013,7,Lexicon,eBook,insitu
7/19/2013,50,Lexicon,eBook,insitu
7/20/2013,141,Lexicon,eBook,finish
7/20/2013,18,Love Minus Eighty,eBook,start
7/21/2013,42,Book Thief,Book,insitu
7/21/2013,5,Love Minus Eighty,eBook,insitu
7/22/2013,33,Love Minus Eighty,eBook,insitu
7/25/2013,47,Shining Girls,eBook,insitu
7/26/2013,35,Shining Girls,eBook,insitu
7/27/2013,32,Shining Girls,eBook,insitu
7/28/2013,8,Love Minus Eighty,eBook,insitu
7/28/2013,82,Shining Girls,eBook,finish
7/29/2013,11,Book Thief,Book,insitu
7/31/2013,8,Information,eBook,insitu
8/1/2013,20,Life Stories,eBook,insitu
8/3/2013,20,Skinny Legs and All,eBook,start
8/4/2013,41,Book Thief,Book,insitu
8/4/2013,2,Functional Evolution,Book,start
8/5/2013,3,Functional Evolution,Book,insitu
8/5/2013,6,Love Minus Eighty,eBook,insitu
8/7/2013,60,Love Minus Eighty,eBook,insitu
8/8/2013,72,Love Minus Eighty,eBook,insitu
8/9/2013,50,Love Minus Eighty,eBook,insitu
8/10/2013,152,Love Minus Eighty,eBook,finish
8/11/2013,3,Functional Evolution,Book,insitu
8/12/2013,7,Martin Heidegger Bio,Book,start
8/15/2013,10,Information,eBook,insitu
8/16/2013,10,Lamb,eBook,start
8/17/2013,10,Engineering Infinity,eBook,start
8/18/2013,22,Checklist Manifesto,eBook,start
8/19/2013,50,Checklist Manifesto,eBook,insitu
8/20/2013,14,Functional Evolution,Book,insitu
8/20/2013,32,Checklist Manifesto,eBook,insitu
8/21/2013,10,Engineering Infinity,eBook,insitu
8/22/2013,24,Checklist Manifesto,eBook,insitu
8/24/2013,43,Checklist Manifesto,eBook,insitu
8/26/2013,50,Checklist Manifesto,eBook,finish
8/29/2013,9,Selected short stories from Phillip K. Dick,eBook,start
8/30/3013,5,Bully for Brontosaurous,eBook,start
8/31/2013,5,Teleprotation Accident ,eBook,start
8/31/2013,8,Language of Math,Book,start
9/1/2013,6,Information,eBook,insitu
9/2/2013,5,Information,eBook,insitu
9/3/2013,5,Information,eBook,insitu
9/4/2013,4,"Nerve, muscle and synapse",Book,start
9/4/2013,20,What Maddening Pursuit,eBook,start
9/5/2013,9,Instinct,Book,start
9/5/2013,4,What Maddening Pursuit,eBook,insitu
9/7/2013,50,Crux,eBook,start
9/8/2013,50,Crux,eBook,insitu
9/9/2013,25,Crux,eBook,insitu
9/10/2013,100,Crux,eBook,insitu
9/11/2013,100,Crux,eBook,insitu
9/12/2013,100,Crux,eBook,insitu
9/13/2013,150,Crux,eBook,insitu
9/14/2013,10,Harper's,Magazine,insitu
9/14/2013,99,Crux,eBook,finish
9/15/2013,15,C,eBook,insitu
9/16/2013,10,Think Python,Book,insitu
9/17/2013,10,Think Python,Book,insitu
9/18/2013,10,Oblivion,Book,start
9/18/2013,27,Think Python,Book,insitu
9/19/2013,78,Book Thief,Book,finish
9/23/2013,10,Devil's Chaplin,eBook,start
9/24/2013,10,Devil's Chaplin,eBook,insitu
9/25/2013,12,Devil's Chaplin,eBook,insitu
9/25/2013,20,Natural Acts,eBook,insitu
